technology,parameter,value,unit,source,further description
BioSNG,efficiency,0.7,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Bio SNG"
BioSNG,investment,1500.0,EUR/kW_th,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","84 Gasif. CFB, Bio-SNG:  Specific investment"
BioSNG,lifetime,25.0,years,TODO,"84 Gasif. CFB, Bio-SNG:  Technical lifetime"
BtL,C in fuel,0.32,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",
BtL,C stored,0.68,per unit,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",
BtL,CO2 stored,0.25,tCO2/MWh_th,"Stoichiometric calculation, doi:10.1016/j.apenergy.2022.120016",
BtL,FOM,3.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Fixed O&M"
BtL,VOM,1.06,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Variable O&M"
BtL,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
BtL,efficiency,0.45,per unit,doi:10.1016/j.enpol.2017.05.013,
BtL,investment,2000.0,EUR/kW_th,doi:10.1016/j.enpol.2017.05.013,"85 Gasif. Ent. Flow FT, liq fu :  Specific investment"
BtL,lifetime,25.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","85 Gasif. Ent. Flow FT, liq fu :  Technical lifetime"
CCGT,FOM,3.25,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M"
CCGT,VOM,4.0,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M"
CCGT,c_b,2.2,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cb coefficient"
CCGT,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Cv coefficient"
CCGT,efficiency,0.6,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Electricity efficiency, annual average"
CCGT,investment,800.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment"
CCGT,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Technical lifetime"
CH4 (g) fill compressor station,FOM,1.7,%/year,Assume same as for H2 (g) fill compressor station.,-
CH4 (g) fill compressor station,investment,1498.95,EUR/MW_CH4,"Guesstimate, based on H2 (g) pipeline and fill compressor station cost.","Assume same ratio as between H2 (g) pipeline and fill compressor station, i.e. 1:19 , due to a lack of reliable numbers."
CH4 (g) fill compressor station,lifetime,20.0,years,Assume same as for H2 (g) fill compressor station.,-
CH4 (g) pipeline,FOM,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,"Due to lack of numbers, use comparable H2 pipeline assumptions."
CH4 (g) pipeline,investment,79.0,EUR/MW/km,Guesstimate.,"Based on Arab Gas Pipeline: https://en.wikipedia.org/wiki/Arab_Gas_Pipeline: cost = 1.2e9 $-US (year = ?), capacity=10.3e9 m^3/a NG, l=1200km, NG-LHV=39MJ/m^3*90% (also Wikipedia estimate from here https://en.wikipedia.org/wiki/Heat_of_combustion). Presumed to include booster station cost."
CH4 (g) pipeline,lifetime,50.0,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,"Due to lack of numbers, use comparable H2 pipeline assumptions."
CH4 (g) submarine pipeline,FOM,3.0,%/year,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",-
CH4 (g) submarine pipeline,investment,114.89,EUR/MW/km,Kaiser (2017): 10.1016/j.marpol.2017.05.003 .,"Based on Gulfstream pipeline costs (430 mi long pipeline for natural gas in deep/shallow waters) of 2.72e6 USD/mi and 1.31 bn ft^3/d capacity (36 in diameter), LHV of methane 13.8888 MWh/t and density of 0.657 kg/m^3 and 1.17 USD:1EUR conversion rate = 102.4 EUR/MW/km. Number is without booster station cost. Estimation of additional cost for booster stations based on H2 (g) pipeline numbers from Guidehouse (2020): European Hydrogen Backbone report and Danish Energy Agency (2021): Technology Data for Energy Transport, were booster stations make ca. 6% of pipeline cost; here add additional 10% for booster stations as they need to be constructed submerged or on plattforms. (102.4*1.1)."
CH4 (g) submarine pipeline,lifetime,30.0,years,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",-
CH4 (l) transport ship,FOM,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,capacity,58300.0,t_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",based on 138 000 m^3 capacity and LNG density of 0.4226 t/m^3 .
CH4 (l) transport ship,investment,151000000.0,EUR,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,lifetime,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,FOM,3.5,%/year,"Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,investment,87.6,EUR/kW_CH4,"Calculated, based on Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306","based on 100 MUSD-2005/(1 bcm/a), 1 bcm = 10.6 TWh, currency exchange rate: 1.15 USD=1 EUR."
CH4 evaporation,lifetime,30.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,FOM,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,electricity-input,0.04,MWh_el/MWh_CH4,"Pospíšil et al. (2019): Energy demand of liquefaction and regasification of natural gas and the potential of LNG for operative thermal energy storage (https://doi.org/10.1016/j.rser.2018.09.027), Table 2 and Table 3. alternative source 2: https://encyclopedia.airliquide.com/methane (accessed 2021-02-10).","Assuming 0.5 MWh/t_CH4 for refigeration cycle based on Table 2 of source; cleaning of gas presumed unnecessary as it should be nearly pure CH4 (=SNG). Assuming energy required is only electricity which is for Table 3 in the source provided with efficiencies of ~50% of LHV, making the numbers consistent with the numbers in Table 2."
CH4 liquefaction,investment,232.13,EUR/kW_CH4,"Calculated, based on Lochner and Bothe (2009): https://doi.org/10.1016/j.enpol.2008.12.012 and Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306","based on 265 MUSD-2005/(1 bcm/a), 1 bcm = 10.6 TWh, currency exchange rate: 1.15 USD=1 EUR."
CH4 liquefaction,lifetime,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,methane-input,1.0,MWh_CH4/MWh_CH4,"Pospíšil et al. (2019): Energy demand of liquefaction and regasification of natural gas and the potential of LNG for operative thermal energy storage (https://doi.org/10.1016/j.rser.2018.09.027), Table 2 and Table 3. alternative source 2: https://encyclopedia.airliquide.com/methane (accessed 2021-02-10).","For refrigeration cycle, cleaning of gas presumed unnecessary as it should be nearly pure CH4 (=SNG). Assuming energy required is only electricity which is for Table 3 in the source provided with efficiencies of ~50% of LHV, making the numbers consistent with the numbers in Table 2."
CO2 liquefaction,FOM,5.0,%/year,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,
CO2 liquefaction,carbondioxide-input,1.0,t_CO2/t_CO2,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,"Assuming a pure, humid, low-pressure input stream. Neglecting possible gross-effects of CO2 which might be cycled for the cooling process."
CO2 liquefaction,electricity-input,0.12,MWh_el/t_CO2,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,
CO2 liquefaction,heat-input,0.01,MWh_th/t_CO2,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,For drying purposes.
CO2 liquefaction,investment,16.03,EUR/t_CO2/h,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,"Plant capacity of 20 kt CO2 / d and an uptime of 85%. For a high purity, humid, low pressure input stream, includes drying and compression necessary for liquefaction."
CO2 liquefaction,lifetime,25.0,years,"Guesstimate, based on CH4 liquefaction.",
CO2 pipeline,FOM,0.9,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 pipeline,investment,2000.0,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",Assuming the 120-500 t CO2/h range that is based on cost of a 12 inch onshore pipeline.
CO2 pipeline,lifetime,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 storage tank,FOM,1.0,%/year,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .","Assuming a 3000m^3 pressurised steel cylinder tanks and a CO2 density of 1100 kg/m^3 (close to triple point at -56.6°C and 5.2 bar with max density of 1200kg/m^3 ). Lauri et al. report costs 3x higher per m^3 for steel tanks, which are consistent with other sources. The numbers reported are in rather difficult to pinpoint as systems can greatly vary."
CO2 storage tank,investment,2528.17,EUR/t_CO2,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3.","Assuming a 3000m^3 pressurised steel cylinder tanks and a CO2 density of 1100 kg/m^3 (close to triple point at -56.6°C and 5.2 bar with max density of 1200kg/m^3 ). Lauri et al. report costs 3x higher per m^3 for steel tanks, which are consistent with other sources. The numbers reported are in rather difficult to pinpoint as systems can greatly vary."
CO2 storage tank,lifetime,25.0,years,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .","Assuming a 3000m^3 pressurised steel cylinder tanks and a CO2 density of 1100 kg/m^3 (close to triple point at -56.6°C and 5.2 bar with max density of 1200kg/m^3 ). Lauri et al. report costs 3x higher per m^3 for steel tanks, which are consistent with other sources. The numbers reported are in rather difficult to pinpoint as systems can greatly vary."
CO2 submarine pipeline,FOM,0.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 submarine pipeline,investment,4000.0,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",Assuming the 120-500 t CO2/h range that is based on cost of a 12 inch offshore pipeline.
Compressed-Air-Adiabatic-bicharger,FOM,0.93,%/year,"Viswanathan_2022, p.64 (p.86) Figure 4.14","{'carrier': ['elec', 'pair', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['NULL']}"
Compressed-Air-Adiabatic-bicharger,efficiency,0.72,per unit,"Viswanathan_2022, p.59 (p.81)","{'carrier': ['elec', 'pair', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['AC-AC efficiency at transformer level 0.52^0.5']}"
Compressed-Air-Adiabatic-bicharger,investment,856985.23,EUR/MW,"Viswanathan_2022, p.59 (p.81)","{'carrier': ['elec', 'pair', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['Turbine Compressor BOP EPC Management']}"
Compressed-Air-Adiabatic-bicharger,lifetime,60.0,years,"Viswanathan_2022, p.59 (p.81)","{'carrier': ['elec', 'pair', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['NULL']}"
Compressed-Air-Adiabatic-store,FOM,0.43,%/year,"Viswanathan_2022, 0.43 % of SB 4.5.2.1 Fixed O&M p.62 (p.84)","{'carrier': ['pair'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['derived']}"
Compressed-Air-Adiabatic-store,investment,4935.14,EUR/MWh,"Viswanathan_2022, p.64 (p.86)","{'carrier': ['pair'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['Cavern Storage']}"
Compressed-Air-Adiabatic-store,lifetime,60.0,years,"Viswanathan_2022, p.59 (p.81)","{'carrier': ['pair'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['NULL']}"
Concrete-charger,FOM,1.08,%/year,"Viswanathan_2022, NULL","{'carrier': ['elec', 'concrete'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['Guesstimate, 50% on charger']}"
Concrete-charger,efficiency,0.99,per unit,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['elec', 'concrete'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['RTE assume 99% for charge and other for discharge']}"
Concrete-charger,investment,130599.38,EUR/MW,"Georgiou_2018, Guesstimate that charge is 20% of capital costs of power components for sensible thermal storage","{'carrier': ['elec', 'concrete'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['Power Equipment Charge']}"
Concrete-charger,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['elec', 'concrete'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['NULL']}"
Concrete-discharger,FOM,0.27,%/year,"Viswanathan_2022, NULL","{'carrier': ['concrete', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['Guesstimate, 50% on discharger']}"
Concrete-discharger,efficiency,0.43,per unit,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['concrete', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['RTE assume 99% for charge and other for discharge']}"
Concrete-discharger,investment,522397.52,EUR/MW,"Georgiou_2018, Guesstimate that charge is 80% of capital costs of power components for sensible thermal storage","{'carrier': ['concrete', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['Power Equipment Discharge']}"
Concrete-discharger,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['concrete', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['NULL']}"
Concrete-store,FOM,0.33,%/year,"Viswanathan_2022, p 104 (p.126)","{'carrier': ['concrete'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['not provided calculated as for hydrogen']}"
Concrete-store,investment,21777.6,EUR/MWh,"Viswanathan_2022, p.98 (p.120)","{'carrier': ['concrete'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['SB and BOS 0.85 of 2021 value']}"
Concrete-store,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['concrete'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['NULL']}"
FT fuel transport ship,FOM,5.0,%/year,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,capacity,75000.0,t_FTfuel,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,investment,31700578.34,EUR,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,lifetime,15.0,years,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
Fischer-Tropsch,FOM,3.0,%/year,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.3.2.1.",
Fischer-Tropsch,VOM,2.1,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",102 Hydrogen to Jet:  Variable O&M
Fischer-Tropsch,capture rate,0.9,per unit,Assumption based on doi:10.1016/j.biombioe.2015.01.006,
Fischer-Tropsch,carbondioxide-input,0.28,t_CO2/MWh_FT,"DEA (2022): Technology Data for Renewable Fuels (https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-renewable-fuels), Hydrogen to Jet Fuel, Table 10 / pg. 267.","Input per 1t FT liquid fuels output, carbon efficiency increases with years (4.3, 3.9, 3.6, 3.3 t_CO2/t_FT from 2020-2050 with LHV 11.95 MWh_th/t_FT)."
Fischer-Tropsch,efficiency,0.8,per unit,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.3.2.2.",
Fischer-Tropsch,electricity-input,0.01,MWh_el/MWh_FT,"DEA (2022): Technology Data for Renewable Fuels (https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-renewable-fuels), Hydrogen to Jet Fuel, Table 10 / pg. 267.","0.005 MWh_el input per FT output, output increasing from 2020 to 2050 (0.65, 0.7, 0.73, 0.75 MWh liquid FT output)."
Fischer-Tropsch,hydrogen-input,1.33,MWh_H2/MWh_FT,"DEA (2022): Technology Data for Renewable Fuels (https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-renewable-fuels), Hydrogen to Jet Fuel, Table 10 / pg. 267.","0.995 MWh_H2 per output, output increasing from 2020 to 2050 (0.65, 0.7, 0.73, 0.75 MWh liquid FT output)."
Fischer-Tropsch,investment,480584.39,EUR/MW_FT,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”.","Well developed technology, no significant learning expected."
Fischer-Tropsch,lifetime,20.0,years,"Danish Energy Agency, Technology Data for Renewable Fuels (04/2022), Data sheet “Methanol to Power”.",
Gasnetz,FOM,2.5,%,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
Gasnetz,investment,28.0,EUR/kWGas,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
Gasnetz,lifetime,30.0,years,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
General liquid hydrocarbon storage (crude),FOM,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",Assuming ca. 10 EUR/m^3/a (center value between stand alone and addon facility).
General liquid hydrocarbon storage (crude),investment,135.83,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",Assumed 20% lower than for product storage. Crude or middle distillate tanks are usually larger compared to product storage due to lower requirements on safety and different construction method. Reference size used here: 80 000 – 120 000 m^3 .
General liquid hydrocarbon storage (crude),lifetime,30.0,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",
General liquid hydrocarbon storage (product),FOM,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",Assuming ca. 10 EUR/m^3/a (center value between stand alone and addon facility).
General liquid hydrocarbon storage (product),investment,169.79,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",Assumed at the higher end for addon facilities/mid-range for stand-alone facilities. Product storage usually smaller due to higher requirements on safety and different construction method. Reference size used here: 40 000 – 60 000 m^3 .
General liquid hydrocarbon storage (product),lifetime,30.0,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",
Gravity-Brick-bicharger,FOM,1.5,%/year,"Viswanathan_2022, p.76 (p.98) Sentence 1 in 4.7.2 Operating Costs","{'carrier': ['elec', 'gravity', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['1.5 percent of capital cost']}"
Gravity-Brick-bicharger,efficiency,0.93,per unit,"Viswanathan_2022, p.77 (p.99) Table 4.36","{'carrier': ['elec', 'gravity', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['AC-AC efficiency at transformer level 0.86^0.5']}"
Gravity-Brick-bicharger,investment,376395.02,EUR/MW,"Viswanathan_2022, p.71 (p.94) text at the bottom speaks about 0% cost reduction for 2030 compared to 2021","{'carrier': ['elec', 'gravity', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['Power Equipment']}"
Gravity-Brick-bicharger,lifetime,41.7,years,"Viswanathan_2022, p.77 (p.99) Table 4.36","{'carrier': ['elec', 'gravity', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['NULL']}"
Gravity-Brick-store,investment,142545.48,EUR/MWh,"Viswanathan_2022, p.71 (p.94) text at the bottom speaks about 15% cost reduction for 2030 compared to 2021","{'carrier': ['gravity'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['Gravitational Capital (SB+BOS)']}"
Gravity-Brick-store,lifetime,41.7,years,"Viswanathan_2022, p.77 (p.99) Table 4.36","{'carrier': ['gravity'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['NULL']}"
Gravity-Water-Aboveground-bicharger,FOM,1.5,%/year,"Viswanathan_2022, p.76 (p.98) Sentence 1 in 4.7.2 Operating Costs","{'carrier': ['elec', 'gravitywa', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['1.5 percent of capital cost']}"
Gravity-Water-Aboveground-bicharger,efficiency,0.9,per unit,"Viswanathan_2022, p.77 (p.99) Table 4.37","{'carrier': ['elec', 'gravitywa', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['AC-AC efficiency at transformer level ((0.785+0.84)/2)^0.5']}"
Gravity-Water-Aboveground-bicharger,investment,331163.0,EUR/MW,"Viswanathan_2022, p.71 (p.94) text at the bottom speaks about 0% cost reduction for 2030 compared to 2021","{'carrier': ['elec', 'gravitywa', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['Power Equipment']}"
Gravity-Water-Aboveground-bicharger,lifetime,60.0,years,"Viswanathan_2022, p.77 (p.99) Table 4.37","{'carrier': ['elec', 'gravitywa', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['NULL']}"
Gravity-Water-Aboveground-store,investment,110277.28,EUR/MWh,"Viswanathan_2022, p.71 (p.94) text at the bottom speaks about 15% cost reduction for 2030 compared to 2021","{'carrier': ['gravitywa'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['Gravitational Capital (SB+BOS)']}"
Gravity-Water-Aboveground-store,lifetime,60.0,years,"Viswanathan_2022, p.77 (p.99) Table 4.37","{'carrier': ['gravitywa'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['NULL']}"
Gravity-Water-Underground-bicharger,FOM,1.5,%/year,"Viswanathan_2022, p.76 (p.98) Sentence 1 in 4.7.2 Operating Costs","{'carrier': ['elec', 'gravitywu', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['1.5 percent of capital cost']}"
Gravity-Water-Underground-bicharger,efficiency,0.9,per unit,"Viswanathan_2022, p.77 (p.99) Table 4.37","{'carrier': ['elec', 'gravitywu', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['AC-AC efficiency at transformer level ((0.785+0.84)/2)^0.5']}"
Gravity-Water-Underground-bicharger,investment,819830.36,EUR/MW,"Viswanathan_2022, p.71 (p.94) text at the bottom speaks about 0% cost reduction for 2030 compared to 2021","{'carrier': ['elec', 'gravitywu', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['Power Equipment']}"
Gravity-Water-Underground-bicharger,lifetime,60.0,years,"Viswanathan_2022, p.77 (p.99) Table 4.37","{'carrier': ['elec', 'gravitywu', 'elec'], 'technology_type': ['bicharger'], 'type': ['mechanical'], 'note': ['NULL']}"
Gravity-Water-Underground-store,investment,86934.33,EUR/MWh,"Viswanathan_2022, p.71 (p.94) text at the bottom speaks about 15% cost reduction for 2030 compared to 2021","{'carrier': ['gravitywu'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['Gravitational Capital (SB+BOS)']}"
Gravity-Water-Underground-store,lifetime,60.0,years,"Viswanathan_2022, p.77 (p.99) Table 4.37","{'carrier': ['gravitywu'], 'technology_type': ['store'], 'type': ['mechanical'], 'note': ['NULL']}"
H2 (g) fill compressor station,FOM,1.7,%/year,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)","Pessimistic (highest) value chosen for 48'' pipeline w/ 13GW_H2 LHV @ 100bar pressure. Currency year: Not clearly specified, assuming year of publication. Forecast year: Not clearly specified, guessing based on text remarks."
